Genes	Preferred_name	Description
Tco_006976	GPRGNR2	G-protein coupled receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway
Tco_006977	Phm	It is involved in the biological process described with peptide metabolic process
Tco_006978		Smad binding
Tco_006979	phr	DNA photolyase
Tco_006980		Peptide-methionine (R)-S-oxide reductase activity. It is involved in the biological process described with
Tco_006982		Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily
Tco_006985		MADF
Tco_006987		FCP1, C-terminal
Tco_006988		It is involved in the biological process described with signal transduction
Tco_006991		Calcium ion binding
Tco_006993	SPATS2	spermatogenesis-associated serine-rich protein 2
Tco_006994	Dbp80	helicase superfamily c-terminal domain
Tco_006995		Protein of unknown function (DUF229)
Tco_006997		Belongs to the bacterial ribosomal protein bL20 family
Tco_006998		monooxygenase activity
Tco_006999		heme binding. It is involved in the biological process described with oxidation-reduction process
Tco_007001		monooxygenase activity
Tco_007004		heme binding. It is involved in the biological process described with oxidation-reduction process
Tco_007005	CYP2U1	aromatase activity
Tco_007007		monooxygenase activity
Tco_007008		monooxygenase activity
Tco_007012		retrotransposable element Tf2 155 kDa protein type 1-like
Tco_007013		monooxygenase activity
Tco_007014	CYP2U1	aromatase activity
Tco_007016	CYP2J2	Cytochrome P450, family 2, subfamily J, polypeptide 2
Tco_007017		monooxygenase activity
Tco_007018		heme binding. It is involved in the biological process described with oxidation-reduction process
Tco_007020		monooxygenase activity
Tco_007020	CYP2U1	aromatase activity
Tco_007021	CYP2U1	cytochrome P450
Tco_007023		monooxygenase activity
Tco_007024		monooxygenase activity
Tco_007025	CYP2U1	cytochrome P450
Tco_007061		transposition
Tco_007063		Alpha-lactalbumin / lysozyme C
Tco_007066		transposition
Tco_007067	HELQ	RNA secondary structure unwinding
Tco_007071		Integrase core domain
Tco_007079		transposition
Tco_007086		zinc finger
Tco_007089	Tbh	Oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen
Tco_007090	Tbh	Oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen
Tco_007091	RecQ5	It is involved in the biological process described with DNA recombination
Tco_007092		retrotransposable element Tf2 155 kDa protein type 1-like
Tco_007107	hkb	Metal ion binding
Tco_007108		Ras of Complex, Roc, domain of DAPkinase
Tco_007109	RAB28	RAB28, member RAS oncogene family
Tco_007112		K02A2.6-like
Tco_007120	CCNJL	Belongs to the cyclin family
Tco_007123	tws	Serine threonine-protein phosphatase 2A 55 kDa regulatory subunit B
Tco_007125	Slu7	pre-mRNA-splicing factor
Tco_007129	HSPA9	Stress-70 protein, mitochondrial
Tco_007135	flr	Actin-interacting protein 1-like
Tco_007138		Encoded by
Tco_007141	ImpL2	Neural ectodermal development factor
Tco_007142		BadF/BadG/BcrA/BcrD ATPase family
Tco_007148		PFAM Glycoside hydrolase, family 20
Tco_007151		DNA binding
Tco_007152	Gr1	Trehalose receptor
Tco_007153	Gr64e	Plays a role in the sugar gustatory response
Tco_007154		isoform X1
Tco_007155		Belongs to the two pore domain potassium channel (TC 1.A.1.8) family
Tco_007161		LETM1-like protein
Tco_007162	ENTPD4	Ectonucleoside triphosphate diphosphohydrolase 4
Tco_007162		GDA1/CD39 (nucleoside phosphatase) family
Tco_007164		von Willebrand factor (vWF) type D domain
Tco_007170	FGF17	Fibroblast growth factor
Tco_007172		phosphatase activity. It is involved in the biological process described with protein dephosphorylation
Tco_007175		Poly (ADP-ribose) polymerase
Tco_007176	Csl4	Putative DNA-binding domain
Tco_007177		Belongs to the helicase family
Tco_007181		Kinesin-associated microtubule-binding
Tco_007183	hts	Class II Aldolase and Adducin N-terminal domain
Tco_007189		Calcium ion binding
Tco_007190		retrotransposable element Tf2 155 kDa protein type 1-like
Tco_007192		retrotransposable element Tf2 155 kDa protein type 1-like
Tco_007196		protein serine threonine kinase activity. It is involved in the biological process described with
Tco_007199	HOGA1	4-hydroxy-2-oxoglutarate aldolase activity
Tco_007204	RAB24	RAB24, member RAS oncogene family
Tco_007205		Belongs to the DHHC palmitoyltransferase family
Tco_007206		hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances. It is involved in the biological process described with ATP hydrolysis coupled proton transport
Tco_007207	mfrn	Belongs to the mitochondrial carrier (TC 2.A.29) family
Tco_007209		Cullin family
Tco_007211	Ciao1	Essential component of the cytosolic iron-sulfur (Fe S) protein assembly machinery. Required for the maturation of extramitochondrial Fe S proteins
Tco_007213	MFSD7	major facilitator superfamily
Tco_007214	MFSD7	major facilitator superfamily
Tco_007216	BRF2	DNA-templated transcriptional preinitiation complex assembly
Tco_007217		CUE domain
Tco_007217	AUP1	ubiquitin-protein transferase activator activity
Tco_007218		A Receptor for Ubiquitination Targets
Tco_007219		ZIP Zinc transporter
Tco_007220	VAX1	RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding
Tco_007221	TTF2	transcription termination factor
Tco_007222		Transposase IS4
Tco_007223	rpl26l1	regulation of translation involved in cellular response to UV
Tco_007224	fth1	Stores iron in a soluble, non-toxic, readily available form. Important for iron homeostasis. Iron is taken up in the ferrous form and deposited as ferric hydroxides after oxidation
Tco_007225	RMI1	RMI1, RecQ mediated genome instability 1, homolog (S. cerevisiae)
Tco_007227		nuclease activity
Tco_007230		MADF
Tco_007232		Negative regulator of epidermal growth factor receptor (EGFR) signaling
Tco_007234		Glycosyl hydrolases family 16
Tco_007235		Glycosyl hydrolases family 16
Tco_007236		hydrolase family 16
Tco_007238		hydrolase family 16
Tco_007239		hydrolase family 16
Tco_007240		Transposase IS4
Tco_007244		Four repeated domains in the Fasciclin I family of proteins, present in many other contexts.
Tco_007250	Dok	Insulin receptor binding
Tco_007251		Myb/SANT-like DNA-binding domain
Tco_007253		zinc finger
Tco_007254	TDRD1	Tudor domain containing 1
Tco_007255		PRELI-like family
Tco_007257		Aldo/keto reductase family
Tco_007259	Hr96	zinc ion binding. It is involved in the biological process described with steroid hormone mediated signaling pathway
Tco_007260	BNIP1	Vesicle transport protein
Tco_007261		TRC8 N-terminal domain
Tco_007262	GLRX3	Glutaredoxin 3
Tco_007263		G-protein coupled receptor activity. It is involved in the biological process described with
Tco_007264	Dhpr	activity. It is involved in the biological process described with metabolic process
Tco_007265		Zinc ion binding
Tco_007266		Drought induced 19 protein (Di19), zinc-binding
Tco_007267		Glycerol-3-phosphate O-acyltransferase activity. It is involved in the biological process described with phospholipid biosynthetic process
Tco_007278	MFSD7	Major facilitator superfamily
Tco_007280	por	Protein-serine O-palmitoleoyltransferase that acts as a key regulator of the Wnt signaling pathway by mediating the attachment of palmitoleate, a 16-carbon monounsaturated fatty acid (C16 1), to Wnt proteins. Serine palmitoleylation of Wnt proteins is required for efficient binding to frizzled receptors
Tco_007281		flavin adenine dinucleotide binding. It is involved in the biological process described with oxidation-reduction process
Tco_007284	Ykt6	Belongs to the synaptobrevin family
Tco_007285		DNA repair metallo-beta-lactamase
Tco_007286	Mgat2	Alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity. It is involved in the biological process described with oligosaccharide biosynthetic process
Tco_007287	trbd	Zinc ion binding
Tco_007296		Transposase IS4
Tco_007298		Transposase IS4
Tco_007303		DNA- binding
Tco_007304		Ribonuclease H protein
Tco_007305		BESS motif
Tco_007307		BESS motif
Tco_007313	mt:ND5	Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone
Tco_007320		MADF
Tco_007322		Alcohol dehydrogenase transcription factor Myb/SANT-like
Tco_007324		DNA binding
Tco_007327		DDE superfamily endonuclease
Tco_007328		DDE superfamily endonuclease
Tco_007332		Alcohol dehydrogenase transcription factor Myb/SANT-like
Tco_007336		Alcohol dehydrogenase transcription factor Myb/SANT-like
Tco_007337		Tigger transposable
Tco_007339		DDE superfamily endonuclease
Tco_007340		MADF
Tco_007341		Phosphatidylethanolamine-binding protein
Tco_007342	WHSC1	Wolf-Hirschhorn syndrome candidate 1
Tco_007343	CDC25A	positive regulation of cell cycle G2/M phase transition
Tco_007349	CUTC	copper ion homeostasis
Tco_007350		Oxidoreductase activity, acting on the CH-CH group of donors. It is involved in the biological process described with oxidation-reduction process
Tco_007351	WDR54	WD repeat domain 54
Tco_007352	SIL1	protein transport
Tco_007354		nucleic acid binding
Tco_007355	Brd8	bromo domain
Tco_007356		Stabilization of polarity axis
Tco_007357	ZCCHC4	Zinc finger CCHC
Tco_007358	Trc8	Zinc ion binding
Tco_007359		SRR1
Tco_007360		5' nucleotidase family
Tco_007362		EF-hand domain
Tco_007363	Mlc2	Myosin regulatory light chain
Tco_007366	htl	Fibroblast growth factor receptor
Tco_007367		SET and MYND domain-containing
Tco_007368	Amyrel	activity. It is involved in the biological process described with carbohydrate metabolic process
Tco_007369	AMY2A	Pancreatic alpha-amylase-like
Tco_007373		Ion channel
Tco_007375		Calcium ion binding
Tco_007376		Transcriptional adapter
Tco_007378		It is involved in the biological process described with response to pheromone
Tco_007379		Nucleotidyltransferase activity. It is involved in the biological process described with NAD biosynthetic process
Tco_007381		G-protein coupled receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway
Tco_007422	NCAPG	Nuclear condensing complex subunits, C-term domain
Tco_007424		Histone RNA hairpin-binding protein RNA-binding domain
Tco_007425		Zinc ion binding
Tco_007431		Zinc ion binding
Tco_007433		Proline-rich nuclear receptor coactivator motif
Tco_007434		Regulator of chromosome condensation (RCC1) repeat
Tco_007435	BBIP1	BBSome interacting protein 1
Tco_007436	lqfR	Epsin N-terminal homology (ENTH) domain
Tco_007439	FRA10AC1	Folate-sensitive fragile site protein Fra10Ac1
Tco_007440	FIGNL1	microtubule-severing ATPase activity
Tco_007441	KIAA1731	Centrosomal protein
Tco_007443		YqaJ-like viral recombinase domain
Tco_007444	MKI67	regulation of chromosome segregation
